id,name,category_id,created_at,updated_at
165,"Chicago Cubs",1,2024-07-01T11:26:58Z,2025-11-24T07:56:55Z
630,"SC Freiburg",1,2024-07-01T11:26:58Z,2025-11-24T07:56:56Z
23013,"Gil Vicente FC",1,2024-12-30T15:44:42Z,2025-11-24T07:56:57Z
354,"Inter Miami CF",1,1970-01-01T00:00:00Z,2025-11-24T07:56:56Z
13229,"Calgary Wranglers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:55Z
471,"Milwaukee Brewers",1,2024-07-01T11:26:58Z,2025-11-24T07:56:55Z
637,"Seattle Mariners",1,2024-07-01T11:26:58Z,2025-11-24T07:56:55Z
417,"Lille LOSC",1,2024-07-01T11:26:58Z,2025-11-24T07:56:59Z
28697,"Hamburger SV",1,1970-01-01T00:00:00Z,2025-11-24T07:56:58Z
17572,"Millwall FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:57Z
311,"Green Bay Packers",1,1970-01-01T00:00:00Z,2025-11-24T07:57:03Z
3653,"Laval Rocket",1,1970-01-01T00:00:00Z,2025-11-24T07:56:58Z
7859,"WWE WrestleMania",1,2024-12-03T00:15:50Z,2025-11-24T07:56:59Z
337,"Houston Astros",1,2024-07-01T11:26:58Z,2025-11-24T07:56:58Z
18033,"Heart of Midlothian FC",1,2024-12-30T13:25:16Z,2025-11-24T07:56:56Z
29373,"FC Groningen",1,1970-01-01T00:00:00Z,2025-11-24T07:56:57Z
30885,"KUPS Kuopion",1,2025-11-13T14:44:39Z,2025-11-24T07:56:57Z
276,"FC Heidenheim",1,2024-07-01T11:26:58Z,2025-11-24T07:56:59Z
29373,"FC Groningen",1,1970-01-01T00:00:00Z,2025-11-24T07:56:57Z
8212,"NHL Winter Classic",1,2024-12-03T00:24:18Z,2025-11-24T07:57:03Z
276,"FC Heidenheim",1,2024-07-01T11:26:58Z,2025-11-24T07:56:59Z
30885,"KUPS Kuopion",1,2025-11-13T14:44:39Z,2025-11-24T07:56:57Z
337,"Houston Astros",1,2024-07-01T11:26:58Z,2025-11-24T07:56:58Z
17079,"FC Viktoria Plzen",1,1970-01-01T00:00:00Z,2025-11-24T07:57:02Z
14011,"Big East Mens Basketball Tournament",1,2024-12-23T16:11:05Z,2025-11-24T07:57:02Z
30852,"FC Famalicão",1,2025-11-13T08:56:31Z,2025-11-24T07:57:09Z
481,"Monster Jam",1,2024-07-01T11:26:58Z,2025-11-24T07:57:00Z
14078,"San Antonio Stock Show and Rodeo",1,2024-12-23T16:11:25Z,2025-11-24T07:57:00Z
1912,"Bridgeport Islanders",1,1970-01-01T00:00:00Z,2025-11-24T07:57:00Z
6075,"Ontario Reign",1,1970-01-01T00:00:00Z,2025-11-24T07:57:01Z
32,"Canadian Open Tennis",1,1970-01-01T00:00:00Z,2025-11-24T07:57:09Z
12749,"Houston Livestock Show and Rodeo",1,2024-12-18T09:43:02Z,2025-11-24T07:57:00Z
4210,"Grand Rapids Griffins",1,1970-01-01T00:00:00Z,2025-11-24T07:56:58Z
13298,"Idaho Steelheads",1,2024-12-18T09:45:51Z,2025-11-24T07:57:02Z
26345,"Brooklyn FC",1,2025-01-02T12:42:26Z,2025-11-24T07:57:02Z
23202,"New York Sirens",1,2024-12-30T17:24:16Z,2025-11-24T07:56:59Z
757,"Toulouse FC",1,2024-07-01T11:26:58Z,2025-11-24T07:57:04Z
16050,"Olympiacos FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:59Z
5995,"San Jose Barracuda",1,1970-01-01T00:00:00Z,2025-11-24T07:57:00Z
667,"Stade de Rennes FC",1,2024-07-01T11:26:58Z,2025-11-24T07:57:09Z
15258,"FC Utrecht",1,1970-01-01T00:00:00Z,2025-11-24T07:57:00Z
13233,"Northeastern Huskies Hockey",1,2024-12-18T09:45:31Z,2025-11-24T07:57:06Z
6230,"Tucson Roadrunners",1,1970-01-01T00:00:00Z,2025-11-24T07:57:03Z
4728,"Bakersfield Condors",1,1970-01-01T00:00:00Z,2025-11-24T07:57:03Z
14030,"Super Bowl",1,2024-12-23T16:11:11Z,2025-11-24T07:57:06Z
4189,"Iowa Wild",1,1970-01-01T00:00:00Z,2025-11-24T07:57:09Z
12562,"GNK Dinamo Zagreb",1,1970-01-01T00:00:00Z,2025-11-24T07:57:08Z
7118,"Nitro Circus Live",1,2024-12-02T23:42:52Z,2025-11-24T07:57:07Z
21382,"Sheffield Wednesday FC",1,1970-01-01T00:00:00Z,2025-11-24T07:57:03Z
25483,"Toronto Sceptres",1,2025-01-02T12:38:03Z,2025-11-24T07:57:01Z
14034,"Harvard Crimson Hockey",1,2024-12-23T16:11:12Z,2025-11-24T07:57:01Z
29392,"Coventry City",1,2025-08-14T17:59:02Z,2025-11-24T07:57:05Z
28599,"Formula 1: Belgian Grand Prix",1,1970-01-01T00:00:00Z,2025-11-24T07:57:05Z
13233,"Northeastern Huskies Hockey",1,2024-12-18T09:45:31Z,2025-11-24T07:57:06Z
14030,"Super Bowl",1,2024-12-23T16:11:11Z,2025-11-24T07:57:06Z
6230,"Tucson Roadrunners",1,1970-01-01T00:00:00Z,2025-11-24T07:57:03Z
12562,"GNK Dinamo Zagreb",1,1970-01-01T00:00:00Z,2025-11-24T07:57:08Z
14034,"Harvard Crimson Hockey",1,2024-12-23T16:11:12Z,2025-11-24T07:57:01Z
25483,"Toronto Sceptres",1,2025-01-02T12:38:03Z,2025-11-24T07:57:01Z
21382,"Sheffield Wednesday FC",1,1970-01-01T00:00:00Z,2025-11-24T07:57:03Z
29392,"Coventry City",1,2025-08-14T17:59:02Z,2025-11-24T07:57:05Z
14733,"Red Star Belgrade",1,1970-01-01T00:00:00Z,2025-11-24T07:57:06Z
28599,"Formula 1: Belgian Grand Prix",1,1970-01-01T00:00:00Z,2025-11-24T07:57:05Z
14036,"UNLV Rebels Basketball",1,2024-12-23T16:11:13Z,2025-11-24T07:57:05Z
14093,"South Florida Bulls Basketball",1,2024-12-23T16:11:30Z,2025-11-24T07:57:06Z
189,"Cleveland Browns",1,1970-01-01T00:00:00Z,2025-11-24T08:00:58Z
1842,"SK Sturm Graz",1,1970-01-01T00:00:00Z,2025-11-24T07:57:05Z
229,"Detroit Lions",1,1970-01-01T00:00:00Z,2025-11-24T07:57:04Z
4519,"Rose Bowl",1,1970-01-01T00:00:00Z,2025-11-24T07:57:09Z
